"DateTime","Polygon 1"
"2015-08-06",6.6341
"2015-08-07",7.7682
"2015-08-08",5.1992
"2015-08-09",2.7025
"2015-08-10",1.6228
"2015-08-11",7.7003
"2015-08-12",10.6811
"2015-08-13",3.2589
"2015-08-14",1.2096
"2015-08-15",1.5005
"2015-08-16",4.6543
"2015-08-17",11.4552
"2015-08-18",1.008
"2015-08-19",0.4735
"2015-08-20",11.5988
"2015-08-21",2.6754
"2015-08-22",13.7393
"2015-08-23",0.3629
"2015-08-24",6.9902
"2015-08-25",8.3057
"2015-08-26",5.6219
"2015-08-27",3.563
"2015-08-28",6.3149
"2015-08-29",2.6455
"2015-08-30",5.0858
"2015-08-31",10.9359
"2015-09-01",5.9707
"2015-09-02",2.7509
"2015-09-03",12.6163
"2015-09-04",0.9101
"2015-09-05",3.9659
"2015-09-06",0.853
"2015-09-07",4.1341
"2015-09-08",11.6902
"2015-09-09",0.2778
"2015-09-10",2.9028
"2015-09-11",4.0291
"2015-09-12",1.9363
"2015-09-13",7.5395
"2015-09-14",3.0206
"2015-09-15",1.7041
"2015-09-16",7.5393
"2015-09-17",10.4384
"2015-09-18",2.2003
"2015-09-19",0.8939
"2015-09-20",5.4563
"2015-09-21",12.933
"2015-09-22",2.1901
"2015-09-23",0.2692
"2015-09-24",1.6954
"2015-09-25",12.2558
"2015-09-26",2.1403
"2015-09-27",3.9355
"2015-09-28",0.4078
"2015-09-29",3.3113
"2015-09-30",4.0699
"2015-10-01",8.2718
"2015-10-02",1.1025
"2015-10-03",0.6475
"2015-10-04",3.6022
"2015-10-05",1.6155
"2015-10-06",3.4662
"2015-10-07",2.4833
"2015-10-08",1.4268
"2015-10-09",2.206
"2015-10-10",1.8965
"2015-10-11",8.1002
"2015-10-12",1.2763
"2015-10-13",1.6932
"2015-10-14",4.0046
"2015-10-15",3.9787
"2015-10-16",4.1328
"2015-10-17",2.0532
"2015-10-18",6.853
"2015-10-19",1.0075
"2015-10-20",1.7332
"2015-10-21",4.7754
"2015-10-22",3.1631
"2015-10-23",6.4477
"2015-10-24",5.3146
"2015-10-25",6.1372
"2015-10-26",2.9109
"2015-10-27",4.5489
"2015-10-28",9.1558
"2015-10-29",7.8691
"2015-10-30",0.8505
"2015-10-31",0.4341
"2015-11-01",1.0668
"2015-11-02",0.1224
"2015-11-03",0.6035
"2015-11-04",4.0636
"2015-11-05",1.0029
"2015-11-06",0.6606
"2015-11-07",1.0348
"2015-11-08",0.0863
"2015-11-09",0.5014
"2015-11-10",0.1902
"2015-11-11",0.4249
"2015-11-12",0.0394
"2015-11-13",0.6508
"2015-11-14",0.9623
"2015-11-15",0.0018
"2015-11-16",1.9286
"2015-11-17",0.9489
"2015-11-18",0.573
"2015-11-19",0.2691
"2015-11-20",0.5136
"2015-11-21",0.1534
"2015-11-22",0.1345
"2015-11-23",0.0073
"2015-11-24",0.0084
"2015-11-25",0.0065
"2015-11-26",0.1069
"2015-11-27",0.1704
"2015-11-28",0
"2015-11-29",0.4841
"2015-11-30",0.1489
"2015-12-01",1.6573
"2015-12-02",0.2132
"2015-12-03",0.0128
"2015-12-04",0.0127
"2015-12-05",0.1018
"2015-12-06",0.1843
"2015-12-07",0.3472
"2015-12-08",0.1973
"2015-12-09",0.0433
"2015-12-10",0.0544
"2015-12-11",0.0891
"2015-12-12",0.0015
"2015-12-13",0
"2015-12-14",0
"2015-12-15",0
"2015-12-16",0
"2015-12-17",0.0202
"2015-12-18",0.0465
"2015-12-19",0.0537
"2015-12-20",0
